pop rep sampled
NL-CUI1 A yes
NL-HAR1 A yes
CE-SON1 A NA
CC-BYD1 A yes
NL-TIL1 A yes
CE-JAR1 A yes
CC-PPR1 A yes
CC-GUA1 A yes
NL-SCH1 A yes
NL-WHV1 A no
CE-JES1 A yes
CC-CVR1 A yes
CE-OAK1 A yes
CE-JVR1 A yes
CE-COL1 A NA
CE-JAM1 A yes
CE-SCT1 A yes
CC-ALV1 A yes
FC-COU1 A yes
FS-MER1 A yes
CC-OKA1 A yes
NL-LAR1 A yes
FS-LAT1 A NA
NL-DOR1 A NA
CC-SHL1 A yes
CC-BAI1 A yes
FS-FRE1 A yes
FS-VID1 A yes
CC-FOO1 A yes
CC-LEX1 A yes
CC-CUP1 A yes
CC-ALM1 A yes
CE-CAR1 A yes
CC-FBK1 A yes
FS-ARI1 A NA
CE-SRK1 A yes
FC-MLB1 A yes
CE-LGR1 A yes
CE-DUT1 A yes
FC-LEM1 A yes
FC-COD1 A yes
CE-LLL1 A yes
FC-ISB1 A yes
CC-SCR1 A yes
FC-MMA1 A NA
FC-EVR1 A yes
CE-TUL1 A yes
FC-BOE1 A yes
FC-EVR2 A yes
NL-TIL2 A yes
NL-SCH2 A yes
FS-MER2 A yes
CE-JVR2 A yes
CC-BAI2 A yes
CC-GUA2 A yes
CE-LGR2 A yes
FS-ARI2 A NA
FC-MLB2 A yes
NL-CUI2 A yes
CC-SCR2 A yes
NL-WHV2 A no
CC-CUP2 A yes
CC-LEX2 A yes
FC-BOE2 A yes
CE-LLL2 A yes
NL-HAR2 A yes
CC-FOO2 A yes
CE-SON2 A yes
CC-ALV2 A yes
CC-OKA2 A yes
FS-VID2 A yes
CC-BYD2 A yes
CC-FBK2 A yes
NL-LAR2 A yes
CE-SRK2 A yes
CE-DUT2 A yes
FC-MMA2 A yes
CE-SCT2 A yes
CC-ALM2 A yes
CE-JES2 A yes
FC-ISB2 A yes
NL-DOR2 A yes
CE-CAR2 A yes
CC-PPR2 A yes
FS-FRE2 A yes
